bowler,team,avg_wickets,economy_rate,recent_dots
Abhishek Sharma,SRH,0.0,128.0,15
Akash Deep,LSG,1.0,270.0,8
Arshad Khan,GT,1.0,96.0,7
Arshdeep Singh,PBKS,2.3333333333333335,220.0,32
Ashwani Kumar,MI,2.5,177.0,19
Ashwin,CSK,0.75,177.0,15
Avesh Khan,LSG,0.6666666666666666,226.0,20
Axar,DC,0.0,183.0,14
Azmatullah,PBKS,0.0,174.0,3
Bhuvneshwar,RCB,1.0,178.0,32
Boult,MI,1.0,199.2,32
Bumrah,MI,0.0,174.0,5
Chahal,PBKS,0.3333333333333333,192.0,16
Chahar,MI,1.0,147.6,13
Cummins,SRH,0.8,217.2,21
Digvesh Rathi,LSG,1.5,174.0,26
Fazalhaq Farooqi,RR,0.0,294.0,3
Ferguson,PBKS,1.5,174.0,20
Hardik Pandya,MI,2.5,165.0,31
Harshal Patel,SRH,1.25,169.5,21
Harshit Rana,KKR,0.75,162.0,27
Hasaranga,RR,2.0,210.0,18
Hazlewood,RCB,2.0,181.5,39
Ishant,GT,0.3333333333333333,190.0,16
Jadeja,CSK,0.5,127.5,14
Jamie Overton,CSK,0.0,180.0,2
Jofra Archer,RR,1.0,208.5,38
Kartikeya,RR,1.0,126.0,4
Khaleel Ahmed,CSK,2.25,177.0,35
Krunal Pandya,RCB,1.75,195.0,17
Kuldeep Yadav,DC,2.3333333333333335,144.0,32
Livingstone,RCB,1.0,126.0,7
M Siddharth,LSG,1.0,195.0,13
Marco Jansen,PBKS,1.0,228.0,25
Maxwell,PBKS,1.0,141.0,12
Mitchell Starc,DC,3.3333333333333335,182.0,36
Moeen Ali,KKR,2.0,138.0,5
Mohit Sharma,DC,0.3333333333333333,170.0,21
Mujeeb,MI,1.0,138.0,5
Mukesh Choudhary,CSK,0.0,300.0,6
Mukesh Kumar,DC,0.6666666666666666,142.0,16
Naman Dhir,MI,1.0,72.0,7
Narine,KKR,0.6666666666666666,176.0,20
Nathan Ellis,CSK,1.0,222.0,7
Noor Ahmad,CSK,2.5,169.5,20
Pathirana,CSK,2.0,166.0,35
Prasidh,GT,1.25,162.0,38
Prince Yadav,LSG,1.5,213.0,16
Rabada,GT,1.0,240.0,16
Rashid Khan,GT,0.25,213.0,20
Rasikh Salam,RCB,0.5,204.0,16
Ravi Bishnoi,LSG,0.75,267.0,18
Riyan Parag,RR,1.0,150.0,7
Russell,KKR,2.0,204.0,5
Sai Kishore,GT,2.0,166.5,26
Sam Curran,CSK,0.0,192.0,10
Sandeep Sharma,RR,1.0,184.5,16
Santner,MI,0.2,178.79999999999998,25
Satyanarayana Raju,MI,2.0,216.0,8
Shami,SRH,1.0,177.6,32
Simarjeet Singh,SRH,0.6666666666666666,236.0,22
Siraj,GT,2.25,177.0,46
Spencer Johnson,KKR,0.3333333333333333,168.0,25
Stoinis,PBKS,0.0,188.0,12
Suyash Sharma,RCB,0.3333333333333333,216.0,32
Thakur,LSG,2.0,189.0,24
Theekshana,RR,1.0,189.0,28
Tushar Deshpande,RR,1.5,246.0,22
Unadkat,SRH,0.0,96.0,2
Vaibhav Arora,KKR,2.0,204.0,27
Varun Chakaravarthy,KKR,1.5,138.0,35
Vignesh Puthur,MI,1.6666666666666667,166.0,22
Vijaykumar Vyshak,PBKS,0.0,138.0,11
Vipraj Nigam,DC,1.0,162.0,15
Will Jacks,MI,1.0,174.0,8
Yash Dayal,RCB,1.25,163.5,21
Yudhvir Singh,RR,0.0,102.0,6
Zampa,SRH,1.0,276.0,12
Zeeshan Ansari,SRH,1.3333333333333333,200.0,15
